Distance = Start -> End (as the crow flies)
1.758308 = Lane & Tuttle -> I-71 17th offramp
2.169079 = Lane & Tuttle -> I-71 5th offramp
0.000000 = Lane & Tuttle -> Lane & Tuttle
2.351377 = Lane & Tuttle -> Park & Goodale
2.492304 = Lane & Tuttle -> Park & Vine
1.155595 = Lane & Tuttle -> SR-315 & King
0.742295 = Lane & Tuttle -> SR-315 & Lane
2.005291 = Lane & Tuttle -> SR-315 I-670 offramp
0.945159 = Lane & Tuttle -> US-23 & 15th
1.022182 = Lane & Tuttle -> US-23 & 17th
2.425482 = Lane & Tuttle -> US-23 & Goodale
0.163322 = Lane & Tuttle -> Woodruff & Tuttle
0.104042 = Park & Goodale -> Goodale parking lot
1.503302 = Park & Goodale -> High & 11th
1.837679 = Park & Goodale -> High & 15th
0.933115 = Park & Goodale -> High & 5th
0.089750 = Park & Goodale -> High & Goodale
1.148250 = Park & Goodale -> High & King
2.118496 = Park & Goodale -> High & Woodruff
1.738212 = Park & Goodale -> I-71 11th offramp
2.154330 = Park & Goodale -> I-71 17th offramp
1.345652 = Park & Goodale -> I-71 5th offramp
2.351377 = Park & Goodale -> Lane & Tuttle
0.000000 = Park & Goodale -> Park & Goodale
0.148839 = Park & Goodale -> Park & Vine
1.613802 = Park & Goodale -> SR-315 & King
2.663488 = Park & Goodale -> SR-315 & Lane
0.922538 = Park & Goodale -> SR-315 I-670 offramp
1.813292 = Park & Goodale -> US-23 & 15th
1.940325 = Park & Goodale -> US-23 & 17th
0.334759 = Park & Goodale -> US-23 & Goodale
2.208859 = Park & Goodale -> Woodruff & Tuttle
0.182408 = Park & Vine -> Goodale parking lot
1.650653 = Park & Vine -> High & 11th
1.984778 = Park & Vine -> High & 15th
1.081141 = Park & Vine -> High & 5th
0.190332 = Park & Vine -> High & Goodale
1.295987 = Park & Vine -> High & King
2.265424 = Park & Vine -> High & Woodruff
1.865023 = Park & Vine -> I-71 11th offramp
2.288671 = Park & Vine -> I-71 17th offramp
1.452901 = Park & Vine -> I-71 5th offramp
2.492304 = Park & Vine -> Lane & Tuttle
0.148839 = Park & Vine -> Park & Goodale
0.000000 = Park & Vine -> Park & Vine
1.720984 = Park & Vine -> SR-315 & King
2.786991 = Park & Vine -> SR-315 & Lane
0.968392 = Park & Vine -> SR-315 I-670 offramp
1.962016 = Park & Vine -> US-23 & 15th
2.088414 = Park & Vine -> US-23 & 17th
0.390357 = Park & Vine -> US-23 & Goodale
2.348112 = Park & Vine -> Woodruff & Tuttle
1.540280 = SR-315 & King -> Goodale parking lot
1.000790 = SR-315 & King -> High & 11th
1.104991 = SR-315 & King -> High & 15th
1.069598 = SR-315 & King -> High & 5th
1.664030 = SR-315 & King -> High & Goodale
1.007630 = SR-315 & King -> High & King
1.255824 = SR-315 & King -> High & Woodruff
2.124638 = SR-315 & King -> I-71 11th offramp
2.259594 = SR-315 & King -> I-71 17th offramp
2.133319 = SR-315 & King -> I-71 5th offramp
1.155595 = SR-315 & King -> Lane & Tuttle
1.613802 = SR-315 & King -> Park & Goodale
1.720984 = SR-315 & King -> Park & Vine
0.000000 = SR-315 & King -> SR-315 & King
1.121538 = SR-315 & King -> SR-315 & Lane
0.945634 = SR-315 & King -> SR-315 I-670 offramp
1.408184 = SR-315 & King -> US-23 & 15th
1.577491 = SR-315 & King -> US-23 & 17th
1.827519 = SR-315 & King -> US-23 & Goodale
0.995236 = SR-315 & King -> Woodruff & Tuttle
2.604670 = SR-315 & Lane -> Goodale parking lot
1.474974 = SR-315 & Lane -> High & 11th
1.284355 = SR-315 & Lane -> High & 15th
1.894879 = SR-315 & Lane -> High & 5th
2.698089 = SR-315 & Lane -> High & Goodale
1.726766 = SR-315 & Lane -> High & King
1.174594 = SR-315 & Lane -> High & Woodruff
2.567672 = SR-315 & Lane -> I-71 11th offramp
2.489401 = SR-315 & Lane -> I-71 17th offramp
2.786832 = SR-315 & Lane -> I-71 5th offramp
0.742295 = SR-315 & Lane -> Lane & Tuttle
2.663488 = SR-315 & Lane -> Park & Goodale
2.786991 = SR-315 & Lane -> Park & Vine
1.121538 = SR-315 & Lane -> SR-315 & King
0.000000 = SR-315 & Lane -> SR-315 & Lane
2.066436 = SR-315 & Lane -> SR-315 I-670 offramp
1.638234 = SR-315 & Lane -> US-23 & 15th
1.741219 = SR-315 & Lane -> US-23 & 17th
2.817843 = SR-315 & Lane -> US-23 & Goodale
0.727957 = SR-315 & Lane -> Woodruff & Tuttle
0.821519 = SR-315 I-670 offramp -> Goodale parking lot
1.437969 = SR-315 I-670 offramp -> High & 11th
1.708493 = SR-315 I-670 offramp -> High & 15th
1.063763 = SR-315 I-670 offramp -> High & 5th
1.003584 = SR-315 I-670 offramp -> High & Goodale
1.187402 = SR-315 I-670 offramp -> High & King
1.950776 = SR-315 I-670 offramp -> High & Woodruff
2.220161 = SR-315 I-670 offramp -> I-71 11th offramp
2.523685 = SR-315 I-670 offramp -> I-71 17th offramp
1.998590 = SR-315 I-670 offramp -> I-71 5th offramp
2.005291 = SR-315 I-670 offramp -> Lane & Tuttle
0.922538 = SR-315 I-670 offramp -> Park & Goodale
0.968392 = SR-315 I-670 offramp -> Park & Vine
0.945634 = SR-315 I-670 offramp -> SR-315 & King
2.066436 = SR-315 I-670 offramp -> SR-315 & Lane
0.000000 = SR-315 I-670 offramp -> SR-315 I-670 offramp
1.867252 = SR-315 I-670 offramp -> US-23 & 15th
2.034895 = SR-315 I-670 offramp -> US-23 & 17th
1.235707 = SR-315 I-670 offramp -> US-23 & Goodale
1.842798 = SR-315 I-670 offramp -> Woodruff & Tuttle
1.819541 = US-23 & 15th -> Goodale parking lot
0.439896 = US-23 & 15th -> High & 11th
0.365549 = US-23 & 15th -> High & 15th
0.902531 = US-23 & 15th -> High & 5th
1.791599 = US-23 & 15th -> High & Goodale
0.708955 = US-23 & 15th -> High & King
0.506950 = US-23 & 15th -> High & Woodruff
0.936444 = US-23 & 15th -> I-71 11th offramp
0.889465 = US-23 & 15th -> I-71 17th offramp
1.253357 = US-23 & 15th -> I-71 5th offramp
0.945159 = US-23 & 15th -> Lane & Tuttle
1.813292 = US-23 & 15th -> Park & Goodale
1.962016 = US-23 & 15th -> Park & Vine
1.408184 = US-23 & 15th -> SR-315 & King
1.638234 = US-23 & 15th -> SR-315 & Lane
1.867252 = US-23 & 15th -> SR-315 I-670 offramp
0.000000 = US-23 & 15th -> US-23 & 15th
0.173700 = US-23 & 15th -> US-23 & 17th
1.769204 = US-23 & 15th -> US-23 & Goodale
0.912051 = US-23 & 15th -> Woodruff & Tuttle
1.952906 = US-23 & 17th -> Goodale parking lot
0.613155 = US-23 & 17th -> High & 11th
0.506284 = US-23 & 17th -> High & 15th
1.048440 = US-23 & 17th -> High & 5th
1.913007 = US-23 & 17th -> High & Goodale
0.865109 = US-23 & 17th -> High & King
0.574219 = US-23 & 17th -> High & Woodruff
0.876795 = US-23 & 17th -> I-71 11th offramp
0.754049 = US-23 & 17th -> I-71 17th offramp
1.257119 = US-23 & 17th -> I-71 5th offramp
1.022182 = US-23 & 17th -> Lane & Tuttle
1.940325 = US-23 & 17th -> Park & Goodale
2.088414 = US-23 & 17th -> Park & Vine
1.577491 = US-23 & 17th -> SR-315 & King
1.741219 = US-23 & 17th -> SR-315 & Lane
2.034895 = US-23 & 17th -> SR-315 I-670 offramp
0.173700 = US-23 & 17th -> US-23 & 15th
0.000000 = US-23 & 17th -> US-23 & 17th
1.873131 = US-23 & 17th -> US-23 & Goodale
1.013855 = US-23 & 17th -> Woodruff & Tuttle
0.437328 = US-23 & Goodale -> Goodale parking lot
1.528659 = US-23 & Goodale -> High & 11th
1.859953 = US-23 & Goodale -> High & 15th
0.968842 = US-23 & Goodale -> High & 5th
0.245127 = US-23 & Goodale -> High & Goodale
1.178629 = US-23 & Goodale -> High & King
2.139024 = US-23 & Goodale -> High & Woodruff
1.528013 = US-23 & Goodale -> I-71 11th offramp
1.971902 = US-23 & Goodale -> I-71 17th offramp
1.082168 = US-23 & Goodale -> I-71 5th offramp
2.425482 = US-23 & Goodale -> Lane & Tuttle
0.334759 = US-23 & Goodale -> Park & Goodale
0.390357 = US-23 & Goodale -> Park & Vine
1.827519 = US-23 & Goodale -> SR-315 & King
2.817843 = US-23 & Goodale -> SR-315 & Lane
1.235707 = US-23 & Goodale -> SR-315 I-670 offramp
1.769204 = US-23 & Goodale -> US-23 & 15th
1.873131 = US-23 & Goodale -> US-23 & 17th
0.000000 = US-23 & Goodale -> US-23 & Goodale
2.295514 = US-23 & Goodale -> Woodruff & Tuttle
2.172212 = Woodruff & Tuttle -> Goodale parking lot
0.814921 = Woodruff & Tuttle -> High & 11th
0.567434 = Woodruff & Tuttle -> High & 15th
1.328918 = Woodruff & Tuttle -> High & 5th
2.223632 = Woodruff & Tuttle -> High & Goodale
1.128754 = Woodruff & Tuttle -> High & King
0.455344 = Woodruff & Tuttle -> High & Woodruff
1.845605 = Woodruff & Tuttle -> I-71 11th offramp
1.764402 = Woodruff & Tuttle -> I-71 17th offramp
2.098892 = Woodruff & Tuttle -> I-71 5th offramp
0.163322 = Woodruff & Tuttle -> Lane & Tuttle
2.208859 = Woodruff & Tuttle -> Park & Goodale
2.348112 = Woodruff & Tuttle -> Park & Vine
0.995236 = Woodruff & Tuttle -> SR-315 & King
0.727957 = Woodruff & Tuttle -> SR-315 & Lane
1.842798 = Woodruff & Tuttle -> SR-315 I-670 offramp
0.912051 = Woodruff & Tuttle -> US-23 & 15th
1.013855 = Woodruff & Tuttle -> US-23 & 17th
2.295514 = Woodruff & Tuttle -> US-23 & Goodale
0.000000 = Woodruff & Tuttle -> Woodruff & Tuttle
